                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.85701,                 0.6786,                 1.1487,                0.91388,                0.88801,                0.93312,                0.67961,                0.75639,                0.52778,                 1.0589,              0.0040462,              0.0040462,              0.0040462
                    115,                 0.8394,                0.66542,                 1.1423,                0.92014,                0.88732,                0.93513,                0.68129,                0.74825,                0.52206,                 1.0541,              0.0039702,              0.0039702,              0.0039702
                    116,                0.83445,                0.67195,                 1.1374,                  0.929,                0.88505,                0.93592,                0.68346,                0.74424,                0.52089,                 1.0515,              0.0038944,              0.0038944,              0.0038944
                    117,                0.83274,                0.66733,                  1.144,                0.93047,                0.88334,                0.93574,                 0.6829,                0.74609,                0.51804,                 1.0525,               0.003819,               0.003819,               0.003819
                    118,                  0.833,                0.66523,                  1.139,                 0.9317,                0.88882,                0.93936,                0.68666,                0.74428,                0.51163,                 1.0497,              0.0037438,              0.0037438,              0.0037438
                    119,                0.83006,                0.64347,                 1.1318,                0.93202,                0.88737,                0.93776,                0.68414,                0.74534,                0.51103,                  1.049,               0.003669,               0.003669,               0.003669
                    120,                0.83396,                0.65736,                 1.1355,                0.93993,                0.88461,                0.93723,                0.68499,                 0.7471,                0.50861,                 1.0523,              0.0035945,              0.0035945,              0.0035945
                    121,                0.82116,                0.65063,                 1.1356,                0.93392,                0.88834,                0.93725,                0.68883,                0.74148,                0.50647,                 1.0507,              0.0035204,              0.0035204,              0.0035204
                    122,                0.82043,                0.65107,                 1.1262,                0.92744,                0.88829,                0.93745,                0.68916,                0.73374,                0.50427,                 1.0481,              0.0034466,              0.0034466,              0.0034466
                    123,                0.82037,                0.64237,                 1.1252,                 0.9231,                0.88884,                0.93882,                0.69103,                0.73492,                0.50434,                 1.0489,              0.0033732,              0.0033732,              0.0033732
                    124,                0.82015,                0.64269,                 1.1257,                0.94103,                 0.8767,                0.94109,                0.69051,                0.73626,                0.50439,                 1.0493,              0.0033003,              0.0033003,              0.0033003
                    125,                0.80847,                0.64027,                 1.1178,                0.92784,                0.88533,                0.94207,                0.69074,                0.73559,                0.50436,                 1.0482,              0.0032278,              0.0032278,              0.0032278
                    126,                0.81206,                0.63796,                 1.1219,                0.91754,                0.88944,                0.94042,                0.68946,                0.73418,                0.50743,                 1.0473,              0.0031557,              0.0031557,              0.0031557
                    127,                0.80014,                0.62505,                 1.1145,                0.92243,                0.89315,                0.94098,                0.69043,                0.73037,                 0.5036,                 1.0439,              0.0030841,              0.0030841,              0.0030841
                    128,                0.80673,                0.63174,                 1.1215,                0.93117,                0.88836,                0.94187,                0.69071,                0.73208,                0.50052,                 1.0436,               0.003013,               0.003013,               0.003013
                    129,                0.79639,                0.61992,                 1.1144,                0.93341,                0.89191,                0.94023,                0.69033,                0.73019,                 0.5012,                 1.0429,              0.0029424,              0.0029424,              0.0029424
                    130,                0.79807,                0.62619,                 1.1184,                0.92806,                0.89103,                0.93983,                0.68906,                0.72856,                0.49967,                 1.0427,              0.0028723,              0.0028723,              0.0028723
                    131,                0.79887,                 0.6178,                 1.1154,                0.92949,                0.89156,                0.93883,                0.68986,                0.72397,                  0.495,                 1.0404,              0.0028027,              0.0028027,              0.0028027
                    132,                0.79441,                0.62086,                 1.1193,                 0.9297,                0.89504,                0.93992,                0.69249,                0.72266,                 0.4937,                 1.0389,              0.0027337,              0.0027337,              0.0027337
                    133,                0.78675,                0.61734,                 1.1083,                0.92932,                0.89219,                0.93916,                0.69476,                0.72091,                0.49261,                 1.0368,              0.0026653,              0.0026653,              0.0026653
                    134,                0.79081,                0.61682,                 1.1061,                0.93068,                0.88717,                0.93956,                0.69584,                0.72053,                0.48976,                 1.0372,              0.0025975,              0.0025975,              0.0025975
                    135,                0.78786,                0.61095,                 1.1043,                 0.9262,                0.88892,                0.93916,                0.69683,                0.71864,                0.49026,                  1.036,              0.0025302,              0.0025302,              0.0025302
                    136,                0.78675,                0.60991,                 1.1056,                0.92739,                 0.8917,                0.94092,                    0.7,                0.71486,                0.48761,                 1.0337,              0.0024636,              0.0024636,              0.0024636
                    137,                0.77504,                0.59991,                 1.1005,                0.92693,                0.89395,                0.94218,                0.70127,                0.71311,                0.48701,                 1.0327,              0.0023977,              0.0023977,              0.0023977
                    138,                0.78069,                0.59515,                 1.1023,                0.92054,                0.90208,                0.94262,                0.70119,                0.71307,                0.48687,                 1.0316,              0.0023323,              0.0023323,              0.0023323
                    139,                 0.7683,                 0.5968,                 1.0984,                 0.9122,                0.90894,                0.94317,                0.70219,                 0.7133,                0.48713,                 1.0319,              0.0022677,              0.0022677,              0.0022677
                    140,                0.77629,                0.59806,                 1.1016,                0.91706,                0.90389,                0.94403,                0.70346,                0.71309,                0.48492,                 1.0323,              0.0022037,              0.0022037,              0.0022037
                    141,                0.76917,                0.59522,                 1.0943,                 0.9369,                0.89253,                0.94563,                0.70471,                0.71335,                 0.4845,                 1.0328,              0.0021405,              0.0021405,              0.0021405
                    142,                0.76711,                0.59067,                 1.0925,                0.93424,                0.90082,                0.94676,                0.70658,                0.71234,                0.48242,                 1.0318,              0.0020779,              0.0020779,              0.0020779
                    143,                0.76373,                0.58531,                 1.0937,                0.94468,                0.89532,                0.94845,                0.70736,                0.70897,                0.47908,                 1.0289,              0.0020161,              0.0020161,              0.0020161
                    144,                0.76835,                0.59393,                 1.0984,                0.94158,                0.89802,                0.94829,                 0.7091,                0.70649,                0.47829,                 1.0271,               0.001955,               0.001955,               0.001955
                    145,                0.77212,                0.59866,                 1.0981,                0.94657,                0.89464,                0.94916,                0.70994,                 0.7061,                0.47701,                 1.0269,              0.0018948,              0.0018948,              0.0018948
                    146,                0.76494,                0.59054,                 1.0956,                 0.9425,                 0.8956,                0.94815,                0.70834,                0.70361,                0.47666,                 1.0254,              0.0018352,              0.0018352,              0.0018352
                    147,                0.75756,                0.58008,                 1.0886,                0.93992,                0.89461,                 0.9487,                 0.7093,                0.70158,                0.47507,                 1.0245,              0.0017765,              0.0017765,              0.0017765
                    148,                0.76353,                0.59744,                  1.097,                0.93598,                0.89519,                0.94878,                0.71086,                0.70054,                 0.4746,                 1.0242,              0.0017186,              0.0017186,              0.0017186
